time = 1000    total seen = 322 max lag = 2
time = 2000    total seen = 658 max lag = 11
time = 3000    total seen = 991 max lag = 2
time = 4000    total seen = 1321 max lag = 12
time = 5000    total seen = 1649 max lag = 12
time = 6000    total seen = 1975 max lag = 20
time = 7000    total seen = 2291 max lag = 10
time = 8000    total seen = 2598 max lag = 17
time = 9000    total seen = 2902 max lag = 16
time = 10000    total seen = 3203 max lag = 29
time = 11000    total seen = 3494 max lag = 3
time = 12000    total seen = 3796 max lag = 10
time = 13000    total seen = 4090 max lag = 53
time = 14000    total seen = 4343 max lag = 16
time = 15000    total seen = 4599 max lag = 45
time = 16000    total seen = 4872 max lag = 39
time = 17000    total seen = 5126 max lag = 10
time = 18000    total seen = 5381 max lag = 15
time = 19000    total seen = 5655 max lag = 9
time = 20000    total seen = 5892 max lag = 65
time = 21000    total seen = 6132 max lag = 130
time = 22000    total seen = 6361 max lag = 73
time = 23000    total seen = 6577 max lag = 41
time = 24000    total seen = 6779 max lag = 201
time = 25000    total seen = 6950 max lag = 144
time = 26000    total seen = 7194 max lag = 32
time = 27000    total seen = 7420 max lag = 71
time = 28000    total seen = 7644 max lag = 158
time = 29000    total seen = 7860 max lag = 85
time = 30000    total seen = 8087 max lag = 8
time = 31000    total seen = 8281 max lag = 18
time = 32000    total seen = 8489 max lag = 226
time = 33000    total seen = 8690 max lag = 149
time = 34000    total seen = 8858 max lag = 289
time = 35000    total seen = 9056 max lag = 380
time = 36000    total seen = 9216 max lag = 536
time = 37000    total seen = 9396 max lag = 500
time = 38000    total seen = 9603 max lag = 707
time = 39000    total seen = 9820 max lag = 753
time = 40000    total seen = 10045 max lag = 901
time = 41000    total seen = 10192 max lag = 1048
time = 42000    total seen = 10384 max lag = 1050
time = 43000    total seen = 10574 max lag = 1081
time = 44000    total seen = 10767 max lag = 1264
time = 45000    total seen = 10945 max lag = 1442
time = 46000    total seen = 11116 max lag = 1433
time = 47000    total seen = 11268 max lag = 1585
time = 48000    total seen = 11462 max lag = 1637
time = 49000    total seen = 11602 max lag = 1777
time = 50000    total seen = 11744 max lag = 1919
time = 51000    total seen = 11948 max lag = 2122
time = 52000    total seen = 12106 max lag = 2166
time = 53000    total seen = 12282 max lag = 2342
time = 54000    total seen = 12470 max lag = 2530
time = 55000    total seen = 12591 max lag = 2616
time = 56000    total seen = 12619 max lag = 2644
time = 57000    total seen = 12813 max lag = 2832
time = 58000    total seen = 12949 max lag = 2896
time = 59000    total seen = 12949 max lag = 2896
time = 60000    total seen = 12949 max lag = 2884
time = 61000    total seen = 12949 max lag = 2884
time = 62000    total seen = 12949 max lag = 2884
time = 63000    total seen = 12949 max lag = 2876
time = 64000    total seen = 12949 max lag = 2876
time = 65000    total seen = 12949 max lag = 2876
time = 66000    total seen = 12949 max lag = 2860
time = 67000    total seen = 12949 max lag = 2808
time = 68000    total seen = 12949 max lag = 2808
time = 69000    total seen = 12949 max lag = 2808
time = 70000    total seen = 12949 max lag = 2710
time = 71000    total seen = 12949 max lag = 2710
time = 72000    total seen = 12949 max lag = 2710
time = 73000    total seen = 12949 max lag = 2710
time = 74000    total seen = 12949 max lag = 2710
time = 75000    total seen = 12949 max lag = 2503
time = 76000    total seen = 12949 max lag = 2503
time = 77000    total seen = 12949 max lag = 2502
time = 78000    total seen = 12949 max lag = 2477
time = 79000    total seen = 12949 max lag = 2477
time = 80000    total seen = 12949 max lag = 2477
time = 81000    total seen = 12949 max lag = 2477
time = 82000    total seen = 12949 max lag = 2342
time = 83000    total seen = 12949 max lag = 2286
time = 84000    total seen = 12949 max lag = 2286
time = 85000    total seen = 12949 max lag = 2121
time = 86000    total seen = 12949 max lag = 2121
time = 87000    total seen = 12949 max lag = 2119
time = 88000    total seen = 12949 max lag = 1756
time = 89000    total seen = 12949 max lag = 1756
time = 90000    total seen = 12949 max lag = 1756
time = 91000    total seen = 12949 max lag = 1756
time = 92000    total seen = 12949 max lag = 1756
time = 93000    total seen = 12949 max lag = 1756
time = 94000    total seen = 12949 max lag = 1756
time = 95000    total seen = 12949 max lag = 1756
time = 96000    total seen = 12949 max lag = 1756
time = 97000    total seen = 12949 max lag = 1756
time = 98000    total seen = 12949 max lag = 1756
time = 99000    total seen = 12949 max lag = 1756
time = 100000    total seen = 12949 max lag = 1737
time = 101000    total seen = 12949 max lag = 1737
time = 102000    total seen = 12949 max lag = 1737
time = 103000    total seen = 12949 max lag = 1737
time = 104000    total seen = 12949 max lag = 1575
time = 105000    total seen = 12949 max lag = 1575
time = 106000    total seen = 12949 max lag = 1575
time = 107000    total seen = 12949 max lag = 1575
time = 108000    total seen = 12949 max lag = 1574
time = 109000    total seen = 12949 max lag = 1574
time = 110000    total seen = 12949 max lag = 1574
time = 111000    total seen = 12949 max lag = 1574
time = 112000    total seen = 12949 max lag = 1467
time = 113000    total seen = 12949 max lag = 1467
time = 114000    total seen = 12949 max lag = 1467
time = 115000    total seen = 12949 max lag = 1466
time = 116000    total seen = 12949 max lag = 1466
time = 117000    total seen = 12949 max lag = 1466
time = 118000    total seen = 12949 max lag = 1407
time = 119000    total seen = 12949 max lag = 1407
time = 120000    total seen = 12949 max lag = 1407
time = 121000    total seen = 12949 max lag = 1407
time = 122000    total seen = 12949 max lag = 1395
time = 123000    total seen = 12949 max lag = 1192
time = 124000    total seen = 12949 max lag = 1192
time = 125000    total seen = 12949 max lag = 1192
time = 126000    total seen = 12949 max lag = 1192
time = 127000    total seen = 12949 max lag = 1192
time = 128000    total seen = 12949 max lag = 1192
time = 129000    total seen = 12949 max lag = 1192
time = 130000    total seen = 12949 max lag = 1191
time = 131000    total seen = 12949 max lag = 1191
time = 132000    total seen = 12949 max lag = 1191
time = 133000    total seen = 12949 max lag = 1191
time = 134000    total seen = 12949 max lag = 1191
time = 135000    total seen = 12949 max lag = 1191
time = 136000    total seen = 12949 max lag = 1191
time = 137000    total seen = 12949 max lag = 1191
time = 138000    total seen = 12949 max lag = 1145
time = 139000    total seen = 12949 max lag = 1006
time = 140000    total seen = 12949 max lag = 1006
time = 141000    total seen = 12949 max lag = 1006
time = 142000    total seen = 12949 max lag = 1006
time = 143000    total seen = 12949 max lag = 1006
time = 144000    total seen = 12949 max lag = 1006
time = 145000    total seen = 12949 max lag = 1006
time = 146000    total seen = 12949 max lag = 1006
time = 147000    total seen = 12949 max lag = 1006
time = 148000    total seen = 12949 max lag = 1006
time = 149000    total seen = 12949 max lag = 970
time = 150000    total seen = 12949 max lag = 970
time = 151000    total seen = 12949 max lag = 970
time = 152000    total seen = 12949 max lag = 875
time = 153000    total seen = 12949 max lag = 525
time = 154000    total seen = 12949 max lag = 525
time = 155000    total seen = 12949 max lag = 525
time = 156000    total seen = 12949 max lag = 525
time = 157000    total seen = 12949 max lag = 525
time = 158000    total seen = 12949 max lag = 525
